	Tissue
GTEX-1F7RK-0011-R6b-SM-ARZMG	Brain - Nucleus accumbens (basal ganglia)
GTEX-WWYW-0011-R10A-SM-3NB35	Brain - Frontal Cortex (BA9)
GTEX-145MH-0011-R3b-SM-5P9JQ	Brain - Anterior cingulate cortex (BA24)
GTEX-ZVT3-0011-R3b-SM-51MTJ	Brain - Anterior cingulate cortex (BA24)
GTEX-12WSH-3026-SM-5CVNI	Brain - Cortex
GTEX-1F88E-0011-R8a-SM-CJI2H	Brain - Hypothalamus
GTEX-1CAV2-0011-R5b-SM-9QEH4	Brain - Caudate (basal ganglia)
GTEX-13O3Q-0011-R2b-SM-5KM3K	Brain - Substantia nigra
GTEX-R55E-0011-R9A-SM-2TC6C	Brain - Spinal cord (cervical c-1)
GTEX-13SLW-0011-R4b-SM-5S2W2	Brain - Amygdala
GTEX-1C6VR-0011-R5a-SM-9QEH1	Brain - Caudate (basal ganglia)
GTEX-14PJO-0011-R1b-SM-6AJAK	Brain - Hippocampus
GTEX-1HFI6-0011-R10b-SM-ARZLO	Brain - Frontal Cortex (BA9)
GTEX-1JMPZ-2826-SM-C1YRA	Brain - Cerebellum
GTEX-ZDXO-2926-SM-4WKFM	Brain - Cerebellum
GTEX-1GZ2Q-0011-R8a-SM-CE6RO	Brain - Hypothalamus
GTEX-13OVL-0011-R9a-SM-5P9GX	Brain - Spinal cord (cervical c-1)
GTEX-1313W-0011-R8a-SM-5DUVM	Brain - Hypothalamus
GTEX-145LU-0011-R3a-SM-5P9K2	Brain - Anterior cingulate cortex (BA24)
GTEX-16XZZ-0011-R8b-SM-7LT8S	Brain - Hypothalamus
GTEX-13OVH-2926-SM-5IJFH	Brain - Cerebellum
GTEX-1H3VE-0011-R1a-SM-A9G1K	Brain - Hippocampus
GTEX-13SLX-0011-R9b-SM-5SI6X	Brain - Spinal cord (cervical c-1)
GTEX-1A3MX-0011-R1b-SM-7P8PH	Brain - Hippocampus
GTEX-16NPV-0011-R5a-SM-7EPGK	Brain - Caudate (basal ganglia)
GTEX-1GF9V-2926-SM-7PBXO	Brain - Cortex
GTEX-1GTWX-0011-R10b-SM-CJI2X	Brain - Frontal Cortex (BA9)
GTEX-ZAB4-0011-R5a-SM-4SOKC	Brain - Caudate (basal ganglia)
GTEX-13OVL-3026-SM-5IJF1	Brain - Cerebellum
GTEX-11DZ1-0011-R11b-SM-DO11W	Brain - Cerebellar Hemisphere
GTEX-11ZUS-0011-R8a-SM-5BC73	Brain - Hypothalamus
GTEX-1NV8Z-3026-SM-DTX8Z	Brain - Cerebellum
GTEX-13OW6-0011-R6b-SM-5L3GR	Brain - Nucleus accumbens (basal ganglia)
GTEX-145MH-0011-R7a-SM-5PNWH	Brain - Putamen (basal ganglia)
GTEX-1IKK5-0011-R3b-SM-C1YRY	Brain - Anterior cingulate cortex (BA24)
GTEX-17F97-0011-R4b-SM-7KFS2	Brain - Amygdala
GTEX-XLM4-0011-R8A-SM-4AT44	Brain - Hypothalamus
GTEX-17HHY-0011-R5b-SM-79OMZ	Brain - Caudate (basal ganglia)
GTEX-1GN1V-3126-SM-7PBZG	Brain - Cortex
GTEX-13OW8-0011-R11a-SM-5L3GT	Brain - Cerebellar Hemisphere
GTEX-1ICLZ-0011-R9a-SM-ARL7E	Brain - Spinal cord (cervical c-1)
GTEX-OXRN-0011-R10A-SM-2I5GC	Brain - Frontal Cortex (BA9)
GTEX-1ICLZ-0011-R7a-SM-ARZLU	Brain - Putamen (basal ganglia)
GTEX-1445S-0011-R10a-SM-5PNWB	Brain - Frontal Cortex (BA9)
GTEX-N7MT-1126-SM-CYPQY	Brain - Cortex
GTEX-R55E-0011-R7A-SM-2TC5Z	Brain - Putamen (basal ganglia)
GTEX-T5JC-0011-R10A-SM-32PM2	Brain - Frontal Cortex (BA9)
GTEX-1HR98-3026-SM-CNPPK	Brain - Cortex
GTEX-1H1ZS-0011-R6b-SM-A9G1F	Brain - Nucleus accumbens (basal ganglia)
GTEX-17HII-0011-R1b-SM-7MGVW	Brain - Hippocampus
GTEX-12WSD-0011-R1b-SM-5LZVY	Brain - Hippocampus
GTEX-17HII-3026-SM-7EWFM	Brain - Cortex
GTEX-14BMV-0011-R5b-SM-62LFT	Brain - Caudate (basal ganglia)
GTEX-Q2AG-2826-SM-2HMJQ	Brain - Cerebellum
GTEX-X4XX-0011-R1B-SM-3P622	Brain - Hippocampus
GTEX-1F52S-0011-R8a-SM-9OSXA	Brain - Hypothalamus
GTEX-1J1OQ-3226-SM-A9G2Q	Brain - Cortex
GTEX-XMD1-2826-SM-4AT5F	Brain - Cerebellum
GTEX-13CZV-0011-R4b-SM-5J2NY	Brain - Amygdala
GTEX-13O3O-0011-R6b-SM-5P9GY	Brain - Nucleus accumbens (basal ganglia)
GTEX-1B8SF-0011-R1b-SM-7P8Q8	Brain - Hippocampus
GTEX-1JJEA-2826-SM-ARU8R	Brain - Cortex
GTEX-14JIY-0011-R9a-SM-6EU34	Brain - Spinal cord (cervical c-1)
GTEX-1CB4G-0011-R8b-SM-9WG7H	Brain - Hypothalamus
GTEX-1IL2V-0011-R10a-SM-CL55A	Brain - Frontal Cortex (BA9)
GTEX-1GZHY-0011-R6a-SM-9OSWL	Brain - Nucleus accumbens (basal ganglia)
GTEX-18465-2926-SM-7KFSE	Brain - Cerebellum
GTEX-13X6J-3026-SM-5Q5CU	Brain - Cortex
GTEX-1GN73-0011-R1a-SM-CKZNT	Brain - Hippocampus
GTEX-1477Z-0011-R3b-SM-5PNX9	Brain - Anterior cingulate cortex (BA24)
GTEX-YFC4-0011-R2a-SM-4V6DZ	Brain - Substantia nigra
GTEX-13SLW-0011-R8b-SM-5SI64	Brain - Hypothalamus
GTEX-RU72-0011-R2A-SM-2TF6O	Brain - Substantia nigra
GTEX-13PVQ-0011-R7a-SM-5L3G3	Brain - Putamen (basal ganglia)
GTEX-13OW5-0011-R3a-SM-5L3I5	Brain - Anterior cingulate cortex (BA24)
GTEX-144GO-0011-R1a-SM-5PNWO	Brain - Hippocampus
GTEX-1IKOH-2826-SM-CNNRC	Brain - Cerebellum
GTEX-1313W-0011-R6a-SM-5K7XO	Brain - Nucleus accumbens (basal ganglia)
GTEX-1J1OQ-0011-R2b-SM-ARU88	Brain - Substantia nigra
GTEX-1RQEC-2926-SM-EVR5A	Brain - Cortex
GTEX-12ZZY-0011-R7a-SM-5EGLB	Brain - Putamen (basal ganglia)
GTEX-1HSKV-0011-R10b-SM-CMKH6	Brain - Frontal Cortex (BA9)
GTEX-1ICLZ-0011-R4a-SM-CMKHL	Brain - Amygdala
GTEX-12WSA-0011-R10b-SM-5P9ET	Brain - Frontal Cortex (BA9)
GTEX-1HFI6-0011-R2a-SM-CMKH5	Brain - Substantia nigra
GTEX-13CZV-0011-R3a-SM-5KM27	Brain - Anterior cingulate cortex (BA24)
GTEX-1KWVE-2326-SM-D4P3N	Brain - Cortex
GTEX-QDT8-0011-R2A-SM-32PKQ	Brain - Substantia nigra
GTEX-14BIN-3326-SM-5Q5E6	Brain - Cerebellum
GTEX-1F48J-0011-R2a-SM-CL535	Brain - Substantia nigra
GTEX-13QIC-0011-R3a-SM-5P9HT	Brain - Anterior cingulate cortex (BA24)
GTEX-ZUA1-2926-SM-59HL3	Brain - Cerebellum
GTEX-13O3Q-0011-R5b-SM-5P9H4	Brain - Caudate (basal ganglia)
GTEX-11UD1-0011-R3a-SM-5BC6S	Brain - Anterior cingulate cortex (BA24)
GTEX-13SLW-0011-R3b-SM-5SI6Y	Brain - Anterior cingulate cortex (BA24)
GTEX-13X6K-2926-SM-5Q5D5	Brain - Cortex
GTEX-1GF9W-0011-R5a-SM-CKZO4	Brain - Caudate (basal ganglia)
GTEX-148VJ-0011-R9b-SM-5SI77	Brain - Spinal cord (cervical c-1)
GTEX-1HCU6-0011-R4b-SM-ARU74	Brain - Amygdala
GTEX-13PL6-3126-SM-5LUAR	Brain - Cortex
GTEX-1IY9M-0011-R8a-SM-EYYWW	Brain - Hypothalamus
GTEX-T6MN-0011-R5A-SM-32QPD	Brain - Caudate (basal ganglia)
GTEX-13FHP-0011-R5b-SM-5LZY2	Brain - Caudate (basal ganglia)
GTEX-1GZ4I-0011-R8b-SM-9WG76	Brain - Hypothalamus
GTEX-1HBPH-0011-R10a-SM-CE6SI	Brain - Frontal Cortex (BA9)
GTEX-13FLV-0011-R9b-SM-5L3DA	Brain - Spinal cord (cervical c-1)
GTEX-PVOW-0011-R5A-SM-32PL7	Brain - Caudate (basal ganglia)
GTEX-14LLW-0011-R5b-SM-5ZZU6	Brain - Caudate (basal ganglia)
GTEX-1H4P4-0011-R10b-SM-CE6SG	Brain - Frontal Cortex (BA9)
GTEX-14BIL-0011-R8b-SM-69LQK	Brain - Hypothalamus
GTEX-13RTJ-0011-R7b-SM-5P9JS	Brain - Putamen (basal ganglia)
GTEX-1GF9V-0011-R8b-SM-CE6RB	Brain - Hypothalamus
GTEX-1GF9V-0011-R10b-SM-CKZNP	Brain - Frontal Cortex (BA9)
GTEX-NPJ8-0011-R6a-SM-2HMKB	Brain - Nucleus accumbens (basal ganglia)
GTEX-1GN73-0011-R2a-SM-CJI2V	Brain - Substantia nigra
GTEX-15EO6-0011-R4a-SM-7KUKZ	Brain - Amygdala
GTEX-ZAB4-2926-SM-57WCV	Brain - Cerebellum
GTEX-14E7W-0011-R7b-SM-5ZZV4	Brain - Putamen (basal ganglia)
GTEX-1F6I4-0011-R2a-SM-CL536	Brain - Substantia nigra
GTEX-183WM-0011-R1a-SM-718A8	Brain - Hippocampus
GTEX-15ER7-0011-R2a-SM-6M46O	Brain - Substantia nigra
GTEX-1F75B-0011-R7a-SM-ARU84	Brain - Putamen (basal ganglia)
GTEX-13N2G-0011-R2a-SM-5MR4Q	Brain - Substantia nigra
GTEX-11GSP-0011-R6b-SM-57WBQ	Brain - Nucleus accumbens (basal ganglia)
GTEX-1HT8W-0011-R7b-SM-CMKH8	Brain - Putamen (basal ganglia)
GTEX-1NV5F-3226-SM-EXUSL	Brain - Cortex
GTEX-1H1ZS-0011-R1b-SM-A9G1E	Brain - Hippocampus
GTEX-11DZ1-0011-R2a-SM-DNZZM	Brain - Substantia nigra
GTEX-11DXY-3226-SM-5GIDE	Brain - Cortex
GTEX-RU72-0011-R8A-SM-2TF61	Brain - Hypothalamus
GTEX-1HR98-0011-R2a-SM-ARL7A	Brain - Substantia nigra
GTEX-13VXU-2926-SM-5LU5C	Brain - Cortex
GTEX-1JMQJ-0011-R11a-SM-EXOJY	Brain - Cerebellar Hemisphere
GTEX-139UW-0011-R9b-SM-5LZYT	Brain - Spinal cord (cervical c-1)
GTEX-13X6I-0011-R4b-SM-5PNU9	Brain - Amygdala
GTEX-1GN73-0011-R10b-SM-CKZNR	Brain - Frontal Cortex (BA9)
GTEX-S7SE-0011-R6A-SM-2XCD9	Brain - Nucleus accumbens (basal ganglia)
GTEX-12ZZX-0011-R7b-SM-5DUVV	Brain - Putamen (basal ganglia)
GTEX-15EO6-0011-R5b-SM-7KUDZ	Brain - Caudate (basal ganglia)
GTEX-18A6Q-0011-R11a-SM-72D6H	Brain - Cerebellar Hemisphere
GTEX-T6MN-0011-R10A-SM-32QP7	Brain - Frontal Cortex (BA9)
GTEX-13OVJ-0011-R2b-SM-5L3GP	Brain - Substantia nigra
GTEX-1GF9W-2726-SM-9JGGW	Brain - Cerebellum
GTEX-1N2EE-0011-R11b-SM-EXOIJ	Brain - Cerebellar Hemisphere
GTEX-14LLW-0011-R1a-SM-5ZZVD	Brain - Hippocampus
GTEX-11GSO-3026-SM-5Q5AL	Brain - Cerebellum
GTEX-13FHO-2926-SM-5L3ES	Brain - Cerebellum
GTEX-14PJM-0011-R1a-SM-CNPO3	Brain - Hippocampus
GTEX-1IDJH-0011-R8b-SM-ARZLL	Brain - Hypothalamus
GTEX-131XW-3126-SM-5LZUC	Brain - Cortex
GTEX-132Q8-2926-SM-5IFFP	Brain - Cerebellum
GTEX-X4EP-0011-R1A-SM-3P624	Brain - Hippocampus
GTEX-1IY9M-0011-R1a-SM-EXURZ	Brain - Hippocampus
GTEX-15DYW-0011-R2b-SM-7KUKY	Brain - Substantia nigra
GTEX-1E2YA-0011-R6b-SM-CE6R2	Brain - Nucleus accumbens (basal ganglia)
GTEX-14C5O-2926-SM-5RQI1	Brain - Cerebellum
GTEX-11NV4-0011-R7a-SM-57WDH	Brain - Putamen (basal ganglia)
GTEX-17HG3-0011-R7b-SM-7EPGR	Brain - Putamen (basal ganglia)
GTEX-13OVL-0011-R3b-SM-5L3I8	Brain - Anterior cingulate cortex (BA24)
GTEX-1EH9U-0011-R6a-SM-CJI2C	Brain - Nucleus accumbens (basal ganglia)
GTEX-14LZ3-0011-R7a-SM-69LQN	Brain - Putamen (basal ganglia)
GTEX-14PJM-0011-R6a-SM-6872G	Brain - Nucleus accumbens (basal ganglia)
GTEX-1C6VR-0011-R10b-SM-7P8QA	Brain - Frontal Cortex (BA9)
GTEX-1I1GQ-0011-R6b-SM-CE6SE	Brain - Nucleus accumbens (basal ganglia)
GTEX-15UF6-0011-R1a-SM-9QEGH	Brain - Hippocampus
GTEX-11NV4-0011-R5a-SM-5NQ88	Brain - Caudate (basal ganglia)
GTEX-145MH-2926-SM-5Q5D2	Brain - Cerebellum
GTEX-1GZHY-3026-SM-7MXVA	Brain - Cerebellum
GTEX-1GF9W-0011-R10a-SM-9OSXH	Brain - Frontal Cortex (BA9)
GTEX-12WSD-0011-R11a-SM-9OSVC	Brain - Cerebellar Hemisphere
GTEX-QMR6-0011-R8A-SM-32PKJ	Brain - Hypothalamus
GTEX-13NYB-0011-R3b-SM-A9SM4	Brain - Anterior cingulate cortex (BA24)
GTEX-1C6WA-3326-SM-7MKGN	Brain - Cerebellum
GTEX-1B933-0011-R2b-SM-7IGNM	Brain - Substantia nigra
GTEX-WHSE-0011-R8A-SM-3P5Z1	Brain - Hypothalamus
GTEX-13VXU-0011-R7b-SM-5SI72	Brain - Putamen (basal ganglia)
GTEX-ZZPT-2926-SM-5EQ5S	Brain - Cerebellum
GTEX-11DYG-0011-R6a-SM-DO936	Brain - Nucleus accumbens (basal ganglia)
GTEX-1F48J-2726-SM-7P8PW	Brain - Cerebellum
GTEX-16Z82-3026-SM-79ON3	Brain - Cortex
GTEX-1BAJH-0011-R10a-SM-7MXT9	Brain - Frontal Cortex (BA9)
GTEX-T2IS-0011-R3A-SM-32QPB	Brain - Anterior cingulate cortex (BA24)
GTEX-1CAV2-0011-R1a-SM-ARZML	Brain - Hippocampus
GTEX-15UF6-3026-SM-7KUKL	Brain - Cortex
GTEX-1H1CY-0011-R1a-SM-CKZOZ	Brain - Hippocampus
GTEX-1CB4G-2926-SM-7MKFQ	Brain - Cerebellum
GTEX-11ZTS-0011-R9b-SM-DO93Q	Brain - Spinal cord (cervical c-1)
GTEX-148VJ-0011-R3b-SM-69LQJ	Brain - Anterior cingulate cortex (BA24)
GTEX-17MF6-2926-SM-7LTAW	Brain - Cortex
GTEX-13QIC-2926-SM-5J2NF	Brain - Cortex
GTEX-13FXS-0011-R6b-SM-5L3F7	Brain - Nucleus accumbens (basal ganglia)
GTEX-17EVP-0011-R10a-SM-7IGLP	Brain - Frontal Cortex (BA9)
GTEX-12WSD-0011-R2a-SM-5LZWB	Brain - Substantia nigra
GTEX-13N2G-0011-R7a-SM-5MR42	Brain - Putamen (basal ganglia)
GTEX-12WSD-0011-R3b-SM-5LZWN	Brain - Anterior cingulate cortex (BA24)
GTEX-P44G-0011-R11A-SM-2I3FD	Brain - Cerebellar Hemisphere
GTEX-11ZTS-0011-R10a-SM-DO93S	Brain - Frontal Cortex (BA9)
GTEX-1CAV2-0011-R9b-SM-9WG5M	Brain - Spinal cord (cervical c-1)
GTEX-13JUV-0011-R7b-SM-5LZZG	Brain - Putamen (basal ganglia)
GTEX-1H3VE-0011-R2a-SM-CE6SA	Brain - Substantia nigra
GTEX-1IKK5-0011-R6b-SM-A9SLY	Brain - Nucleus accumbens (basal ganglia)
GTEX-145LU-0011-R6a-SM-5S2V6	Brain - Nucleus accumbens (basal ganglia)
GTEX-14JIY-0011-R1a-SM-68713	Brain - Hippocampus
GTEX-13PVQ-2926-SM-5L3HJ	Brain - Cerebellum
GTEX-14C39-3026-SM-5S2QE	Brain - Cerebellum
GTEX-11OC5-0726-SM-5P9JK	Brain - Cortex
GTEX-13CF2-0011-R1a-SM-5LZY1	Brain - Hippocampus
GTEX-YJ89-0011-R2b-SM-4RGLT	Brain - Substantia nigra
GTEX-14C5O-0011-R11b-SM-6872H	Brain - Cerebellar Hemisphere
GTEX-13O3Q-2926-SM-5KM45	Brain - Cortex
GTEX-14JG1-0011-R2a-SM-5ZZVE	Brain - Substantia nigra
GTEX-PWO3-1026-SM-2I5F2	Brain - Cerebellum
GTEX-OXRO-0011-R9A-SM-3NB1X	Brain - Spinal cord (cervical c-1)
GTEX-1R9PO-2826-SM-E6CPV	Brain - Cerebellum
GTEX-1HCVE-0011-R5b-SM-CKZP7	Brain - Caudate (basal ganglia)
GTEX-1J8Q2-0011-R8b-SM-D4P2E	Brain - Hypothalamus
GTEX-1J8Q2-3026-SM-CKZN8	Brain - Cortex
GTEX-13SLW-0011-R2b-SM-5O9C6	Brain - Substantia nigra
GTEX-13JVG-0011-R10b-SM-5KM2P	Brain - Frontal Cortex (BA9)
GTEX-ZVZQ-0011-R8a-SM-51MR5	Brain - Hypothalamus
GTEX-1A8G7-0011-R9b-SM-7IGQH	Brain - Spinal cord (cervical c-1)
GTEX-17HII-0011-R3a-SM-7LT9D	Brain - Anterior cingulate cortex (BA24)
GTEX-14JG1-0011-R3a-SM-62LEC	Brain - Anterior cingulate cortex (BA24)
GTEX-14ABY-0011-R4b-SM-5S2VN	Brain - Amygdala
GTEX-ZVT3-0011-R8b-SM-57WDJ	Brain - Hypothalamus
GTEX-1HBPI-0011-R1b-SM-A9SKF	Brain - Hippocampus
GTEX-14LZ3-0011-R10b-SM-6AJA9	Brain - Frontal Cortex (BA9)
GTEX-13N1W-0011-R4a-SM-5MR52	Brain - Amygdala
GTEX-1313W-3126-SM-5LZUI	Brain - Cortex
GTEX-12WSH-0011-R5b-SM-5P9F3	Brain - Caudate (basal ganglia)
GTEX-14PN4-0011-R8a-SM-6EU1H	Brain - Hypothalamus
GTEX-1I1GS-0011-R2b-SM-CMKHG	Brain - Substantia nigra
GTEX-1HFI6-0011-R7b-SM-CM2SS	Brain - Putamen (basal ganglia)
GTEX-1CB4H-0011-R8b-SM-CJI26	Brain - Hypothalamus
GTEX-17EVP-0011-R6b-SM-7LT99	Brain - Nucleus accumbens (basal ganglia)
GTEX-1IL2U-0011-R5a-SM-CE6SN	Brain - Caudate (basal ganglia)
GTEX-1F6RS-3126-SM-9MQK7	Brain - Cortex
GTEX-14E7W-0011-R9a-SM-62LE6	Brain - Spinal cord (cervical c-1)
GTEX-P44G-2426-SM-2I5ER	Brain - Cortex
GTEX-1I1GR-2926-SM-CNNQG	Brain - Cortex
GTEX-1A8G6-3126-SM-731D8	Brain - Cerebellum
GTEX-WWYW-3126-SM-3NB39	Brain - Cortex
GTEX-14JIY-0011-R4b-SM-5ZZV7	Brain - Amygdala
GTEX-1IL2U-3026-SM-C1YSH	Brain - Cortex
GTEX-1J8JJ-0011-R9a-SM-ACKVF	Brain - Spinal cord (cervical c-1)
GTEX-15SHU-3126-SM-6M46H	Brain - Cortex
GTEX-1B8SG-0011-R8b-SM-7IGNW	Brain - Hypothalamus
GTEX-NPJ7-2826-SM-2I3FU	Brain - Cerebellum
GTEX-1GN2E-0011-R6b-SM-9QEII	Brain - Nucleus accumbens (basal ganglia)
GTEX-16GPK-0011-R1b-SM-7EWDH	Brain - Hippocampus
GTEX-1AX9I-0011-R4b-SM-7EPIB	Brain - Amygdala
GTEX-17EVP-0011-R4a-SM-79OML	Brain - Amygdala
GTEX-X585-0011-R10A-SM-46MUY	Brain - Frontal Cortex (BA9)
GTEX-1QP6S-3026-SM-EAZ4N	Brain - Cerebellum
GTEX-1IKOH-0011-R5a-SM-ARU8C	Brain - Caudate (basal ganglia)
GTEX-1B933-3126-SM-7P8RL	Brain - Cortex
GTEX-1GTWX-0011-R11b-SM-C1YQJ	Brain - Cerebellar Hemisphere
GTEX-11OF3-0011-R11a-SM-57WCR	Brain - Cerebellar Hemisphere
GTEX-13OW6-0011-R7b-SM-5L3H4	Brain - Putamen (basal ganglia)
GTEX-OXRO-0011-R5A-SM-2I5EG	Brain - Caudate (basal ganglia)
GTEX-13JUV-0011-R5a-SM-5LZY5	Brain - Caudate (basal ganglia)
GTEX-ZVT3-0011-R5a-SM-51MSI	Brain - Caudate (basal ganglia)
GTEX-13OVL-0011-R8a-SM-5L3HH	Brain - Hypothalamus
GTEX-14JIY-0011-R5b-SM-62LE7	Brain - Caudate (basal ganglia)
GTEX-14ABY-0011-R5b-SM-5SI7B	Brain - Caudate (basal ganglia)
GTEX-1GF9V-3026-SM-7P8R8	Brain - Cerebellum
GTEX-13112-0011-R3b-SM-5HL9L	Brain - Anterior cingulate cortex (BA24)
GTEX-1GN2E-3026-SM-9WG6I	Brain - Cortex
GTEX-1B996-0011-R4b-SM-9OSVO	Brain - Amygdala
GTEX-14LLW-0011-R8a-SM-62LFG	Brain - Hypothalamus
GTEX-NL3H-0011-R11A-SM-2I3E6	Brain - Cerebellar Hemisphere
GTEX-17EVP-2926-SM-793BU	Brain - Cerebellum
GTEX-139TS-0011-R5b-SM-5J2MZ	Brain - Caudate (basal ganglia)
GTEX-QDT8-0011-R10A-SM-32PKG	Brain - Frontal Cortex (BA9)
GTEX-1JJE9-2926-SM-CY8HV	Brain - Cortex
GTEX-14C39-0011-R5b-SM-5ZZV1	Brain - Caudate (basal ganglia)
GTEX-11PRG-0011-R5b-SM-DNZZS	Brain - Caudate (basal ganglia)
GTEX-139T8-1026-SM-5J2MC	Brain - Cortex
GTEX-WWYW-0011-R8A-SM-3NB3S	Brain - Hypothalamus
GTEX-139T4-0011-R9b-SM-5HL6S	Brain - Spinal cord (cervical c-1)
GTEX-1A32A-0011-R1a-SM-7P8SQ	Brain - Hippocampus
GTEX-144FL-3026-SM-5O99C	Brain - Cortex
GTEX-PWO3-0011-R3A-SM-2I5EX	Brain - Anterior cingulate cortex (BA24)
GTEX-14PJM-0011-R7a-SM-6AJBX	Brain - Putamen (basal ganglia)
GTEX-1HGF4-0011-R1a-SM-CJI3S	Brain - Hippocampus
GTEX-11NUK-0011-R6a-SM-DO93O	Brain - Nucleus accumbens (basal ganglia)
GTEX-11DXW-0011-R3b-SM-DNZZE	Brain - Anterior cingulate cortex (BA24)
GTEX-13JVG-0011-R7b-SM-5MR3Q	Brain - Putamen (basal ganglia)
GTEX-ZE9C-0011-R5a-SM-5EGLO	Brain - Caudate (basal ganglia)
GTEX-ZF28-0011-R8a-SM-4WWFW	Brain - Hypothalamus
GTEX-1F48J-0011-R8a-SM-9OSWW	Brain - Hypothalamus
GTEX-1IKK5-0011-R5b-SM-CL55B	Brain - Caudate (basal ganglia)
GTEX-1C64N-3026-SM-7MGVU	Brain - Cortex
GTEX-1GZ2Q-0011-R9a-SM-9WG7A	Brain - Spinal cord (cervical c-1)
GTEX-X4XX-2926-SM-3NMB1	Brain - Cerebellum
GTEX-15RJE-0011-R2b-SM-79OMP	Brain - Substantia nigra
GTEX-1399T-0011-R11a-SM-5J2O1	Brain - Cerebellar Hemisphere
GTEX-1B8L1-0011-R3a-SM-7EPIO	Brain - Anterior cingulate cortex (BA24)
GTEX-1HBPI-2726-SM-9WPPF	Brain - Cerebellum
GTEX-13FXS-0011-R9a-SM-5K7UI	Brain - Spinal cord (cervical c-1)
GTEX-TSE9-2926-SM-3DB77	Brain - Cerebellum
GTEX-13X6K-0011-R4b-SM-5P9HO	Brain - Amygdala
GTEX-1J8Q2-0011-R5b-SM-A9SKH	Brain - Caudate (basal ganglia)
GTEX-11ZTS-0011-R8a-SM-57WDI	Brain - Hypothalamus
GTEX-1EH9U-0011-R10a-SM-CJI2A	Brain - Frontal Cortex (BA9)
GTEX-13JVG-0011-R11a-SM-5KM53	Brain - Cerebellar Hemisphere
GTEX-NPJ8-0011-R4a-SM-2HML3	Brain - Amygdala
GTEX-17HG3-0011-R1a-SM-7LG6H	Brain - Hippocampus
GTEX-13OW8-0011-R8a-SM-5L3G5	Brain - Hypothalamus
GTEX-1H1ZS-0011-R5b-SM-CL53L	Brain - Caudate (basal ganglia)
GTEX-RVPV-0011-R11A-SM-2TF6F	Brain - Cerebellar Hemisphere
GTEX-12ZZZ-3126-SM-5LZU6	Brain - Cerebellum
GTEX-1M4P7-2726-SM-E9TJQ	Brain - Cortex
GTEX-1F7RK-0011-R11b-SM-9QEI2	Brain - Cerebellar Hemisphere
GTEX-1F75B-0011-R5a-SM-9QEHC	Brain - Caudate (basal ganglia)
GTEX-WL46-0011-R6A-SM-3LK6X	Brain - Nucleus accumbens (basal ganglia)
GTEX-1IKOH-0011-R8a-SM-A9SKG	Brain - Hypothalamus
GTEX-1F6IF-0011-R10a-SM-9QEIN	Brain - Frontal Cortex (BA9)
GTEX-1HCU6-0011-R8a-SM-CJI3R	Brain - Hypothalamus
GTEX-1GMR8-0011-R11b-SM-9OSX2	Brain - Cerebellar Hemisphere
GTEX-131XW-0011-R10a-SM-5DUVA	Brain - Frontal Cortex (BA9)
GTEX-13VXU-0011-R3b-SM-5O9CU	Brain - Anterior cingulate cortex (BA24)
GTEX-X261-0011-R5A-SM-3NMB4	Brain - Caudate (basal ganglia)
GTEX-1MCQQ-0011-R3a-SM-EXURW	Brain - Anterior cingulate cortex (BA24)
GTEX-1GF9V-0011-R5a-SM-9QEI8	Brain - Caudate (basal ganglia)
GTEX-12WSF-0011-R1a-SM-5DUVI	Brain - Hippocampus
GTEX-13X6I-2926-SM-5Q5C3	Brain - Cerebellum
GTEX-ZAJG-3126-SM-5HL9J	Brain - Cortex
GTEX-1IY9M-3126-SM-AHZ3A	Brain - Cerebellum
GTEX-11OF3-0011-R6b-SM-57WBG	Brain - Nucleus accumbens (basal ganglia)
GTEX-15DYW-0011-R5a-SM-6M46W	Brain - Caudate (basal ganglia)
GTEX-QVJO-0011-R6A-SM-2S1QN	Brain - Nucleus accumbens (basal ganglia)
GTEX-15ER7-0011-R8a-SM-7KUL2	Brain - Hypothalamus
GTEX-WZTO-0011-R3B-SM-3NMC6	Brain - Anterior cingulate cortex (BA24)
GTEX-1I1CD-0011-R6b-SM-CJI3Y	Brain - Nucleus accumbens (basal ganglia)
GTEX-13CZV-0011-R9a-SM-5LZXT	Brain - Spinal cord (cervical c-1)
GTEX-16GPK-0011-R8a-SM-79OMQ	Brain - Hypothalamus
GTEX-1J8Q2-0011-R1a-SM-D4P2D	Brain - Hippocampus
GTEX-145LS-0011-R2a-SM-5PNZI	Brain - Substantia nigra
GTEX-Z93S-0011-R3b-SM-4RGNH	Brain - Anterior cingulate cortex (BA24)
GTEX-1HGF4-0011-R6a-SM-A96S1	Brain - Nucleus accumbens (basal ganglia)
GTEX-1LG7Y-3126-SM-EV7AS	Brain - Cerebellum
GTEX-1H3O1-0011-R2b-SM-CKZOT	Brain - Substantia nigra
GTEX-1H2FU-0011-R4a-SM-CL551	Brain - Amygdala
GTEX-1313W-0011-R3a-SM-5EGLI	Brain - Anterior cingulate cortex (BA24)
GTEX-1H3O1-0011-R5b-SM-ADEH8	Brain - Caudate (basal ganglia)
GTEX-11EMC-3326-SM-5P9JH	Brain - Cerebellum
GTEX-1KANB-0011-R9b-SM-EZ6MO	Brain - Spinal cord (cervical c-1)
GTEX-1CB4G-0011-R6b-SM-9QEGO	Brain - Nucleus accumbens (basal ganglia)
GTEX-14C39-0011-R3b-SM-5YYA3	Brain - Anterior cingulate cortex (BA24)
